empresa,nicho,cidade,telefone,email,site,google_maps_url
"Dentista Zona Leste | Siso | Implante Dentario | Protese Protocolo | OdontoGama | Protese Dentaria | Conserto de Dentadura","clínica odontológica","Rua Frei Mont'Alverne, 383 - Vila Aricanduva, São Paulo - SP, 03505-030","01134594440","odonto.gama@outlook.com","http://odontogama.com.br/","https://www.google.com.br/maps/place/Dentista+Zona+Leste+%7C+Siso+%7C+Implante+Dentario+%7C+Protese+Protocolo+%7C+OdontoGama+%7C+Protese+Dentaria+%7C+Conserto+de+Dentadura/data=!4m7!3m6!1s0x94ce6146fda8ca7d:0xfff7582762472db!8m2!3d-23.5361388!4d-46.5374951!16s%2Fg%2F11h70rpvw7!19sChIJfcqo_UZhzpQR23IkdoJ1_w8?authuser=0&hl=pt-BR&rclk=1"
"Clínica Odontológica Oral 360 Copacabana | Dentista","clínica odontológica","R. Figueiredo de Magalhães, 226 - Sobreloja, sala 201 a 205 - Copacabana, Rio de Janeiro - RJ, 22031-012","021998133001","faleconosco@oral360.com.br","http://www.oral360.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Oral+360+Copacabana+%7C+Dentista/data=!4m7!3m6!1s0x9bd55df880e3f3:0xcb61af14c378a4e1!8m2!3d-22.9700566!4d-43.1860331!16s%2Fg%2F11pqrr98q0!19sChIJ8-OA-F3VmwAR4aR4wxSvYcs?authuser=0&hl=pt-BR&rclk=1"
"Grupo Odontológico Especializado","clínica odontológica","Av. do Contorno, 7086 - Lourdes, Belo Horizonte - MG, 30110-048","03132236342","contato@clinicagoe.com.br","https://www.clinicagoe.com.br/","https://www.google.com.br/maps/place/Grupo+Odontol%C3%B3gico+Especializado/data=!4m7!3m6!1s0xa69763b79ebb9f:0xd3fc47e6e969178f!8m2!3d-19.9375574!4d-43.9444586!16s%2Fg%2F11gzg1f7b!19sChIJn7uet2OXpgARjxdp6eZH_NM?authuser=0&hl=pt-BR&rclk=1"
"Sorridents Porto Alegre Clinica Odontológica / Dentista","clínica odontológica","R. dos Andradas, 1745 - Centro Histórico, Porto Alegre - RS, 90020-013","05133405959","rs.portoalegrecentro@sorridents.com.br","https://sorridentsportoalegre.com.br/","https://www.google.com.br/maps/place/Sorridents+Porto+Alegre+Clinica+Odontol%C3%B3gica+%2F+Dentista/data=!4m7!3m6!1s0x9519793d86ce2e57:0x4949903179dcdf30!8m2!3d-30.0297628!4d-51.224009!16s%2Fg%2F11ry3rbqw0!19sChIJVy7Ohj15GZURMN_ceTGQSUk?authuser=0&hl=pt-BR&rclk=1"
"Conic Odontologia","clínica odontológica","Sds Bloco D, Nº 60, Loja 15 Mezanino - Asa Sul, Brasília - DF, 70392-901","061991553963","apointoo@vizuh.com","https://local.apointoo.com/listagem/brasilia/clinica-odontologica/conic-odontologia/","https://www.google.com.br/maps/place/Conic+Odontologia/data=!4m7!3m6!1s0x935a3ba13753e873:0xacbf46fff4677e5!8m2!3d-15.7955636!4d-47.8841911!16s%2Fg%2F11rf3l44r6!19sChIJc-hTN6E7WpMR5XdG_2_0ywo?authuser=0&hl=pt-BR&rclk=1"
"Vamos Sorrir Odontologia","clínica odontológica","Av. Sete de Setembro, 400 - Centro, Salvador - BA, 40060-001","07135110300","sacgeralba@gmail.com","https://www.vamossorrirbahia.com.br/","https://www.google.com.br/maps/place/Vamos+Sorrir+Odontologia/data=!4m7!3m6!1s0x71604ed1a48879b:0x4f9d35fd1837cdcc!8m2!3d-12.9805723!4d-38.5144153!16s%2Fg%2F11hbfk7sjk!19sChIJm4dIGu0EFgcRzM03GP01nU8?authuser=0&hl=pt-BR&rclk=1"
"Clínica Odontológica NEOPE","clínica odontológica","Empresarial Graham Bell - Av. Frei Matias Teves, 285 - Sala 911 - Ilha do Leite, Recife - PE, 50070-450","08133026390","neope@hotmail.com.br","https://clinicaneope.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+NEOPE/data=!4m7!3m6!1s0x7ab18cf8a4be82b:0x76870d4455e3191e!8m2!3d-8.064008!4d-34.8964393!16s%2Fg%2F11bxj88769!19sChIJK-hLis8YqwcRHhnjVUQNh3Y?authuser=0&hl=pt-BR&rclk=1"
"Dentista Zona Leste | Siso | Implante Dentario | Protese Protocolo | OdontoGama | Protese Dentaria | Conserto de Dentadura","dentista","Rua Frei Mont'Alverne, 383 - Vila Aricanduva, São Paulo - SP, 03505-030","01134594440","odonto.gama@outlook.com","http://odontogama.com.br/","https://www.google.com.br/maps/place/Dentista+Zona+Leste+%7C+Siso+%7C+Implante+Dentario+%7C+Protese+Protocolo+%7C+OdontoGama+%7C+Protese+Dentaria+%7C+Conserto+de+Dentadura/data=!4m7!3m6!1s0x94ce6146fda8ca7d:0xfff7582762472db!8m2!3d-23.5361388!4d-46.5374951!16s%2Fg%2F11h70rpvw7!19sChIJfcqo_UZhzpQR23IkdoJ1_w8?authuser=0&hl=pt-BR&rclk=1"
"Ceof BH","dentista","R. dos Tamóios, 666 - SL 404 - Centro, Belo Horizonte - MG, 30120-050","","ceof@redeodonto.com.br","https://conteudo.redeodonto.com.br/rede-odonto-ceof-bh","https://www.google.com.br/maps/place/Ceof+BH/data=!4m7!3m6!1s0xa699e2b9a1d0e1:0x1aa5e20124be8c45!8m2!3d-19.9192209!4d-43.94268!16s%2Fg%2F11bxfdxsrx!19sChIJ4dChueKZpgARRYy-JAHipRo?authuser=0&hl=pt-BR&rclk=1"
"Sorridents Porto Alegre Clinica Odontológica / Dentista","dentista","R. dos Andradas, 1745 - Centro Histórico, Porto Alegre - RS, 90020-013","05133405959","rs.portoalegrecentro@sorridents.com.br","https://sorridentsportoalegre.com.br/","https://www.google.com.br/maps/place/Sorridents+Porto+Alegre+Clinica+Odontol%C3%B3gica+%2F+Dentista/data=!4m7!3m6!1s0x9519793d86ce2e57:0x4949903179dcdf30!8m2!3d-30.0297628!4d-51.224009!16s%2Fg%2F11ry3rbqw0!19sChIJVy7Ohj15GZURMN_ceTGQSUk?authuser=0&hl=pt-BR&rclk=1"
